postal_code,latitude,longitude
8430,51.1830232,2.81122725
8432,51.16677445,2.86908685
8434,51.1612072,2.7733134
8450,51.2447455,2.9686854
8460,51.1799743,3.0132959
8470,51.1543906,2.9685823
8480,51.1243011,3.0247358
8490,51.18908,3.14221
8500,50.8266256,3.26503
8501,50.83401445,3.23129345
8510,50.8055015,3.2366846
8511,50.77717645,3.2252305000000003
8520,50.8539621,3.2778993
8530,50.8567675,3.3162442
8531,50.8827468,3.2916508
8540,50.85098,3.3543497
8550,50.81310955,3.33295895
8551,50.7828503,3.4103207
8552,50.769112199999995,3.3969466
8553,50.8070204,3.4187406
8554,50.7534111,3.3657872
8560,50.8153535,3.176502845
8570,50.8335097,3.4356998
8580,50.7772737,3.4425477
8581,50.7983592,3.5006455
8582,50.75901,3.417032
8587,50.7283802,3.35537
8600,51.0343271,2.8664242
8610,51.0260879,3.038081
8620,51.1391805,2.7377852
8630,51.0550052,2.6666946
8640,50.92629,2.71795
8647,50.9813289,2.7461494
8650,50.9773885,2.9457764
8660,51.0992201,2.5924194
8670,51.11472625,2.6356743500000004
8680,51.0898722,2.97391045
8690,50.9929825,2.6555096
8691,50.98574695,2.62328205
8700,50.999804095,3.33040585
8710,50.9095,3.36702355
8720,50.9567924,3.4179328
8730,51.14276,3.34074
8740,50.99497,3.26764
8750,51.05730235,3.276665
8755,51.04481255,3.3998016
8760,50.94992,3.28845
8770,50.9228959,3.254617
8780,50.921924,3.3346163
8790,50.8870034,3.4272877
8791,50.8734733,3.331561
8792,50.8868997,3.3618075
8793,50.8977863,3.3970486
8800,50.9387847,3.1392468
8810,51.0257555,3.1450366
8820,51.0652842,3.1011951
8830,50.9787829,3.0825214
8840,50.9417598,3.0150969
8850,50.979701750000004,3.197854
8851,51.00213525,3.19908715
8860,50.8847618,3.2427103
8870,50.9180902,3.2138295
8880,50.86770555,3.1765862499999997
8890,50.89079405,3.0647014500000003
8900,50.85431535,2.88578475
8902,50.83318735,2.9240506
8904,50.8971265,2.8627496
8908,50.8554025,2.8213865
8920,50.927394449999994,2.9371071000000004
8930,50.792016149999995,3.13104665
8940,50.7833026,3.0449991
